DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Albania,2020,18.1,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Albania,2021,18.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Albania,2022,18.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2000,63.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2001,64.3,e,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2002,62.5,e,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2003,64.2,e,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2004,57.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2005,58.3,e,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2006,59.2,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2007,60.2,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2008,63.2,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2009,61.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2010,59.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2011,56.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2012,57.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2013,57.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2014,56.3,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2015,56.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2016,57.6,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2017,57.8,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2018,57.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2019,58.2,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2020,62.3,b,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2021,62.5,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Austria,2022,62.6,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2008,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2009,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2010,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2011,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2012,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2013,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2014,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2015,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2016,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2017,0.0,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bosnia and Herzegovina,2022,0.8,e,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2000,49.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2001,50.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2002,51.5,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2003,52.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2004,53.5,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2005,55.6,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2006,56.1,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2007,56.8,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2008,52.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2009,53.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2010,54.8,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2011,54.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2012,53.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2013,52.8,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2014,53.8,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2015,53.5,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2016,53.5,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2017,53.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2018,54.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2019,54.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2020,51.4,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2021,55.5,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2022,54.7,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Belgium,2023,54.9,,
ESTAT:CEI_WM011(1.0),13/02/25 11:00:00,Annual,Recycling,Percentage,Bulgaria,2000,15.5,e,
