DATAFLOW,LAST UPDATE,freq,cpatc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2000,1.14,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2001,0.93,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2002,2.2,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2003,1.53,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2004,1.14,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2005,1.25,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2006,1.09,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2007,0.96,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2008,1.06,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2009,0.66,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2010,1.23,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2011,1.9,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2012,1.36,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2013,1.23,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2014,1.21,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2015,1.23,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2016,0.88,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2017,0.61,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2018,1.47,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2019,1.97,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Austria,2020,0.73,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2000,1.02,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2001,0.82,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2002,0.83,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2003,0.36,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2004,0.81,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2005,0.29,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2006,0.5,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2007,0.62,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2008,0.73,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2009,0.82,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2010,1.29,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2011,0.76,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2012,0.8,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2013,1.38,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2014,1.08,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2015,1.71,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2016,1.43,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2017,1.7,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2018,1.41,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2019,1.36,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Belgium,2020,0.48,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2000,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2001,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2002,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2003,0.04,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2004,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2005,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2006,0.13,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2007,0.13,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2008,0.13,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2009,0.13,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2010,0.14,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2011,0.14,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2012,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2013,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2014,0.21,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2015,0.07,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2016,0.05,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2017,0.03,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2018,0.07,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2019,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Bulgaria,2020,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2000,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2001,0.71,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2002,1.79,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2003,0.18,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2004,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2005,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2006,0.67,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2007,0.26,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2008,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2009,0.05,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2010,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2011,2.12,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2012,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2013,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2014,0,,
