geo,TIME_PERIOD,OBS_VALUE
Albania,2012,100.7
Albania,2013,100.6
Albania,2014,100.4
Albania,2015,100.1
Albania,2016,99.9
Albania,2017,99.8
Albania,2018,99.6
Albania,2019,99.1
Albania,2020,101.6
Albania,2021,101.0
Albania,2022,98.8
Austria,1990,93.0
Austria,1991,94.0
Austria,1992,95.0
Austria,1993,95.8
Austria,1994,96.2
Austria,1995,96.3
Austria,1996,96.5
Austria,1997,96.6
Austria,1998,96.7
Austria,1999,96.9
Austria,2000,97.2
Austria,2001,97.5
Austria,2002,98.0
Austria,2003,98.5
Austria,2004,99.1
Austria,2005,99.8
Austria,2006,100.3
Austria,2007,100.6
Austria,2008,100.9
Austria,2009,101.2
Austria,2010,101.5
Austria,2011,101.8
Austria,2012,102.3
Austria,2013,102.9
Austria,2014,103.7
Austria,2015,104.9
Austria,2016,106.0
Austria,2017,106.8
Austria,2018,107.1
Austria,2019,107.6
Austria,2020,107.6
Austria,2021,108.1
Austria,2022,109.6
Belgium,1990,328.7
Belgium,1991,329.9
Belgium,1992,331.2
Belgium,1993,332.5
Belgium,1994,333.5
Belgium,1995,334.2
Belgium,1996,334.9
Belgium,1997,335.7
Belgium,1998,336.4
Belgium,1999,336.8
Belgium,2000,338.0
Belgium,2001,339.2
Belgium,2002,340.7
Belgium,2003,342.1
Belgium,2004,343.6
Belgium,2005,345.5
Belgium,2006,347.8
Belgium,2007,350.4
Belgium,2008,353.1
Belgium,2009,356.0
Belgium,2010,359.5
Belgium,2011,364.3
Belgium,2012,366.3
Belgium,2013,368.0
Belgium,2014,369.6
Belgium,2015,371.8
Belgium,2016,373.7
Belgium,2017,373.6
Belgium,2018,375.3
Belgium,2019,377.3
Belgium,2020,377.3
Belgium,2021,378.9
Belgium,2022,383.6
Bulgaria,1990,77.4
Bulgaria,1991,76.7
Bulgaria,1992,75.9
Bulgaria,1993,75.3
Bulgaria,1994,75.0
Bulgaria,1995,74.7
Bulgaria,1996,75.7
Bulgaria,1997,75.1
Bulgaria,1998,74.4
Bulgaria,1999,74.0
Bulgaria,2000,73.6
Bulgaria,2001,72.3
Bulgaria,2002,70.6
Bulgaria,2003,70.0
Bulgaria,2004,69.5
Bulgaria,2005,69.0
Bulgaria,2006,68.5
Bulgaria,2007,68.0
Bulgaria,2008,67.5
Bulgaria,2009,67.1
Bulgaria,2010,67.9
Bulgaria,2011,67.5
Bulgaria,2012,67.1
Bulgaria,2013,66.7
Bulgaria,2014,66.3
Bulgaria,2015,66.2
Bulgaria,2016,64.8
Bulgaria,2017,64.3
Bulgaria,2018,63.9
Bulgaria,2019,63.4
Bulgaria,2020,63.4
Bulgaria,2021,63.0
Bulgaria,2022,60.4
Switzerland,1990,167.9
Switzerland,1991,170.0
Switzerland,1992,171.9
Switzerland,1993,173.5
Switzerland,1994,174.9
Switzerland,1995,176.0
Switzerland,1996,176.8
Switzerland,1997,177.2
Switzerland,1998,177.8
Switzerland,1999,178.6
Switzerland,2000,179.6
Switzerland,2001,180.8
Switzerland,2002,182.1
Switzerland,2003,183.5
Switzerland,2004,184.8
Switzerland,2005,185.9
Switzerland,2006,187.1
Switzerland,2007,188.8
Switzerland,2008,191.2
Switzerland,2009,193.6
Switzerland,2010,195.6
Switzerland,2011,197.8
Switzerland,2012,199.9
Switzerland,2013,202.3
Switzerland,2014,204.7
Switzerland,2015,207.1
Switzerland,2016,210.1
Switzerland,2017,212.0
Switzerland,2018,213.6
Switzerland,2019,215.1
Switzerland,2020,215.1
Switzerland,2021,216.7
Switzerland,2022,220.2
Cyprus,1990,62.7
Cyprus,1991,64.3
Cyprus,1992,66.1
Cyprus,1993,67.7
Cyprus,1994,69.1
Cyprus,1995,70.4
Cyprus,1996,71.5
Cyprus,1997,72.5
Cyprus,1998,73.4
Cyprus,1999,74.2
Cyprus,2000,75.0
Cyprus,2001,75.8
Cyprus,2002,76.7
Cyprus,2003,77.7
Cyprus,2004,78.7
Cyprus,2005,79.8
Cyprus,2006,81.2
Cyprus,2007,82.9
Cyprus,2008,85.4
Cyprus,2009,87.7
Cyprus,2010,90.0
Cyprus,2011,92.3
Cyprus,2012,93.8
Cyprus,2013,93.5
Cyprus,2014,92.5
Cyprus,2015,92.0
Cyprus,2016,92.4
Cyprus,2017,93.3
Cyprus,2018,94.4
Cyprus,2019,95.7
Cyprus,2020,95.7
Cyprus,2021,96.8
Cyprus,2022,99.1
Czechia,1992,133.5
Czechia,1993,133.7
Czechia,1994,133.7
Czechia,1995,133.7
Czechia,1996,133.5
Czechia,1997,133.3
Czechia,1998,133.2
