DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,1995,11.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,1996,11.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,1997,10.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,1998,9.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,1999,9.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2000,9.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2001,8.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2002,7.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2003,9.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2004,10.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2005,11.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2006,11.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2007,10.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2008,10.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2009,11.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2010,13.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2011,13.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2012,13.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2013,14.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2014,14.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2015,14.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2016,14.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2017,12.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2018,13.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2019,13.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2020,12.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2021,12.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2022,13.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2023,12.6,p,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Albania,2024,11.4,e,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,1995,24.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,1996,24.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,1997,24.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,1998,24.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,1999,24.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2000,24.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2001,24.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2002,24.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2003,23.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2004,24.0,,
