DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2000,2.83,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2001,3.00,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2002,2.84,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2003,3.06,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2004,2.95,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2005,3.09,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2006,3.38,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2007,3.80,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2008,3.92,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2009,4.00,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2010,4.18,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2011,4.11,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2012,4.63,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2013,3.96,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2014,4.05,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2015,4.43,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2016,4.41,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2017,4.37,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2018,4.57,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2019,4.69,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Albania,2020,4.88,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2000,8.63,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2001,8.29,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2002,8.37,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2003,8.04,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2004,8.14,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2005,8.01,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2006,8.20,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2007,8.65,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2008,8.71,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2009,8.85,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2010,8.44,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2011,8.94,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2012,9.03,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2013,8.90,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2014,9.29,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2015,9.19,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2016,9.26,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2017,9.30,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2018,9.75,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2019,9.71,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2020,9.78,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2021,9.69,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2022,10.70,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Austria,2023,10.93,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2014,2.24,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2015,2.27,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2016,2.14,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2017,2.21,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2018,2.08,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2019,2.21,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Bosnia and Herzegovina,2020,2.18,,
