DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2010,6.327,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2011,6.785,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2012,7.145,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2013,8.13,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2014,8.026,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2015,9.173,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2016,9.899,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2017,7.454,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2018,7.812,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2019,7.684,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2020,6.524,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Albania,2021,6.797,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,1995,19.165,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,1996,19.547,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,1997,20.409,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,1998,19.544,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,1999,20.369,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,2000,15.937,b,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,2001,15.391,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,2002,16.569,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,2003,15.644,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,2004,16.283,,
ESTAT:ENV_AC_MFA(1.0),07/08/24 23:00:00,Annual,Domestic extraction,Total,Tonnes per capita,Austria,2005,16.533,,
