DATAFLOW,LAST UPDATE,freq,sex,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2009,35.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2010,35.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2011,35,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2012,35.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2013,36.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2014,36.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2015,36.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2016,36.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2017,37.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2018,36.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2019,36.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2020,37.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2021,38,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2022,37.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2023,38.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Austria,2024,39.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bosnia and Herzegovina,2021,26.6,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bosnia and Herzegovina,2022,26.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bosnia and Herzegovina,2023,27.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bosnia and Herzegovina,2024,28,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2009,41.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2010,41.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2011,41.5,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2012,42.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2013,41.2,,
