DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2005,5273,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2006,5254,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2007,5252,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2008,7001,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2009,4694,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2010,4565,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2011,4899,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2012,5110,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2013,5052,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2014,5280,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2015,5384,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2016,5629,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2017,5733,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2018,5613,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2019,5801,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2020,5381,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Austria,2021,4920,,
