DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,1995,35.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,1996,36.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,1997,32.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,1998,30.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,1999,27.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2000,25.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2001,23.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2002,22.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2003,23.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2004,21.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2005,20.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2006,18.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2007,18.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2008,18.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2009,18.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2010,19.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2011,19.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2012,20.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2013,21.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2014,22.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2015,21.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2016,22.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2017,21.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2018,20.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2019,21.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2020,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2021,20.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2022,19.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2023,18.6,p,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Albania,2024,17.9,e,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Austria,1995,2.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Austria,1996,2.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Austria,1997,2.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,"Agriculture, forestry and fishing","Value added, gross",Austria,1998,2.1,,
