DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,1995,1.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,1996,1.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,1997,0.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,1998,0.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,1999,0.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2000,2.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2001,2.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2002,3.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2003,3.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2004,6.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2005,6.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2006,7.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2007,8.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2008,8.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2009,7.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2010,9.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2011,11.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2012,11.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2013,8.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2014,9.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2015,7.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2016,8.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2017,5.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2018,5.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2019,6.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2020,7.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2021,7.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,R&D Environmental protection,Final consumption expenditure,Austria,2022,7.3,,
