DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Albania,2013,8040.1,b,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Albania,2019,10894.8,b,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Albania,2020,10141.2,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Albania,2021,11362.8,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Albania,2022,12430.3,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Albania,2023,13192.4,p,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,1995,135071.9,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,1996,138597.5,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,1997,138901.9,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,1998,143017.1,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,1999,146979.3,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2000,151499.7,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2001,153621.1,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2002,154485.9,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2003,157648.6,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2004,160985.0,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2005,164647.9,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2006,167658.3,,
ESTAT:NAMA_10_FCS(1.0),05/02/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Final consumption expenditure of households,Austria,2007,170230.4,,
