DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,1995,4.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,1996,4.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,1997,4.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,1998,4.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,1999,10.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2000,11.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2001,10.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2002,13.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2003,12.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2004,11.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2005,11.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2006,10.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2007,10.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2008,14.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2009,13.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2010,12.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2011,12.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2012,11.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2013,20.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2014,21.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2015,24.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2016,26.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2017,27.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2018,24.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2019,29.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2020,26.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2021,43.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2022,36.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Austria,2023,49.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2001,599.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2002,616.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2003,653.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2004,702.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2005,667.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2006,531.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2007,553.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2008,604.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2009,950.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2010,792.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2011,827.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2012,865.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2013,873.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2014,886.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2015,920.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2016,971.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2017,1021.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2018,1112.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2019,1186.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2020,1294.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2021,1303.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2022,1372.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Belgium,2023,1473.5,p,
