DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,1995,8.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,1996,8.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,1997,8.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,1998,8.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,1999,14.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2000,,u,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2001,,u,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2002,,u,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2003,,u,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2004,18.0,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2005,17.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2006,17.5,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2007,17.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2008,17.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2009,18.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2010,19.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2011,19.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2012,19.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2013,20.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2014,29.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2015,30.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2016,31.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2017,32.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2018,32.7,,
